solution,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_str,consequent_str,rule
AWS CDK,frozenset({'ECS'}),frozenset({'ALB'}),0.19498607242339833,0.12534818941504178,0.0947075208913649,0.4857142857142857,3.874920634920635,1.0,0.07026636975194171,1.7007118539151966,0.9216364746590676,0.4197530864197531,0.4120109190172884,0.6206349206349207,ECS,ALB,ECS  →  ALB
AWS CDK,frozenset({'ALB'}),frozenset({'ECS'}),0.12534818941504178,0.19498607242339833,0.0947075208913649,0.7555555555555555,3.8749206349206347,1.0,0.07026636975194171,3.2932387946315522,0.8482577744473585,0.4197530864197531,0.6963475586312956,0.6206349206349207,ALB,ECS,ALB  →  ECS
AWS CDK,frozenset({'DynamoDB'}),frozenset({'Lambda'}),0.08356545961002786,0.5571030640668524,0.06685236768802229,0.8,1.436,1.0,0.020297794089120975,2.2144846796657385,0.331306990881459,0.11650485436893204,0.5484276729559749,0.46,DynamoDB,Lambda,DynamoDB  →  Lambda
AWS CDK,frozenset({'APIGateway'}),frozenset({'Lambda'}),0.22284122562674094,0.5571030640668524,0.15041782729805014,0.675,1.211625,1.0,0.026272297700979982,1.3627598028712236,0.22474445771936816,0.23893805309734512,0.2661949685534592,0.47250000000000003,APIGateway,Lambda,APIGateway  →  Lambda
AWS CDK,frozenset({'S3'}),frozenset({'Lambda'}),0.22841225626740946,0.5571030640668524,0.14206128133704735,0.6219512195121951,1.1164024390243903,1.0,0.014812113500050433,1.171533830532842,0.135131308841226,0.22077922077922074,0.14641816229483043,0.43847560975609756,S3,Lambda,S3  →  Lambda
Pulumi,frozenset({'APIGateway'}),frozenset({'Lambda'}),0.08832807570977919,0.17981072555205047,0.0694006309148265,0.7857142857142856,4.3696741854636585,1.0,0.053518295534834656,3.8275499474237624,0.8458634790814722,0.34920634920634924,0.7387362637362636,0.5858395989974936,APIGateway,Lambda,APIGateway  →  Lambda
Pulumi,frozenset({'Lambda'}),frozenset({'APIGateway'}),0.17981072555205047,0.08832807570977919,0.0694006309148265,0.38596491228070173,4.3696741854636585,1.0,0.053518295534834656,1.484722848129788,0.9402097902097901,0.34920634920634924,0.3264736235051296,0.5858395989974936,Lambda,APIGateway,Lambda  →  APIGateway
Pulumi,frozenset({'S3'}),frozenset({'Lambda'}),0.1167192429022082,0.17981072555205047,0.056782334384858045,0.4864864864864865,2.7055476529160742,1.0,0.03579496263272597,1.597210692346007,0.7136904761904761,0.2368421052631579,0.37390852390852397,0.4011379800853485,S3,Lambda,S3  →  Lambda
Pulumi,frozenset({'Lambda'}),frozenset({'S3'}),0.17981072555205047,0.1167192429022082,0.056782334384858045,0.3157894736842105,2.705547652916074,1.0,0.03579496263272597,1.2909487988352342,0.7685897435897436,0.2368421052631579,0.22537593984962404,0.4011379800853485,Lambda,S3,Lambda  →  S3
Pulumi,frozenset({'GKE'}),frozenset({'EKS'}),0.26498422712933756,0.6593059936908517,0.26498422712933756,1.0,1.5167464114832536,1.0,0.0902785379494273,inf,0.463519313304721,0.40191387559808617,1.0,0.700956937799043,GKE,EKS,GKE  →  EKS
Pulumi,frozenset({'AKS'}),frozenset({'EKS'}),0.3249211356466877,0.6593059936908517,0.3249211356466877,1.0,1.5167464114832536,1.0,0.11069868343798822,inf,0.5046728971962616,0.492822966507177,1.0,0.7464114832535884,AKS,EKS,AKS  →  EKS
Pulumi,frozenset({'EKS'}),frozenset({'AKS'}),0.6593059936908517,0.3249211356466877,0.3249211356466877,0.49282296650717694,1.5167464114832534,1.0,0.11069868343798822,1.3310517231117194,1.0,0.492822966507177,0.24871439431203315,0.7464114832535884,EKS,AKS,EKS  →  AKS
Pulumi,frozenset({'EKS'}),frozenset({'GKE'}),0.6593059936908517,0.26498422712933756,0.26498422712933756,0.4019138755980861,1.5167464114832534,1.0,0.0902785379494273,1.2289463722397476,1.0,0.40191387559808617,0.18629484362486393,0.700956937799043,EKS,GKE,EKS  →  GKE
