cluster_id,archetype,n_programs,pct_dataset,pct_tested,dominant_solution,pct_dominant,solution_diversity,coverage_gap_score
4,Pulumi General Cloud,158,0.4,0.0,Pulumi,100.0,0.0,0.979
9,Serverless Web API,42,0.1,38.1,AWS CDK,97.6,0.162,0.888
2,CDKTF Infrastructure,826,2.2,14.5,CDKTF,100.0,0.0,0.861
8,CDK General Infrastructure,87,0.2,18.4,AWS CDK,51.7,0.999,0.763
0,Serverless Web API,428,1.1,21.5,AWS CDK,54.0,0.995,0.712
3,Kubernetes Workload,1230,3.3,7.5,Pulumi,84.8,0.615,0.706
7,Pulumi General Cloud,3664,9.7,0.0,Pulumi,100.0,0.0,0.514
1,CDK General Infrastructure,14475,38.4,0.0,AWS CDK,100.0,0.0,0.5
5,Pulumi General Cloud,7813,20.7,1.4,Pulumi,100.0,0.0,0.497
6,Tested CDK Deployments,8989,23.8,100.0,AWS CDK,99.7,0.031,0.294
